feature,importance
Contract_Encoded,0.51918626
tenure,0.107144274
TechSupport_Encoded,0.033960655
PaymentMethod_Encoded,0.032608885
OnlineSecurity_Encoded,0.030432902
TotalCharges,0.027775237
Partner_Encoded,0.024630012
MonthlyCharges,0.023592535
AvgMonthlyCharge,0.022462083
ServiceCount,0.015617843
SeniorCitizen,0.015533849
PhoneService_Encoded,0.015327696
StreamingTV_Encoded,0.015313189
DeviceProtection_Encoded,0.0149477925
InternetService_Encoded,0.014668402
MultipleLines_Encoded,0.014634253
StreamingMovies_Encoded,0.014620548
OnlineBackup_Encoded,0.014616567
PaperlessBilling_Encoded,0.014498532
gender_Encoded,0.014460489
Dependents_Encoded,0.013967967
